CropDays,Soil Moisture,Soil Temperature,Temperature,Humidity,Irrigation(Y/N)
1,630,19,33,52,1
10,750,18,29,56,1
11,528,20,28,57,0
12,321,21,29,54,0
13,147,24,27,56,0
14,621,19,26,58,1
15,426,21,24,57,0
16,254,22,23,56,0
17,118,24,23,54,0
18,693,19,25,62,1
19,480,20,28,64,0
20,326,21,29,63,0
21,211,22,32,67,0
22,126,24,33,64,0
23,746,18,31,63,1
24,524,20,30,64,0
25,356,21,30,58,0
26,214,22,31,57,0
27,156,23,29,63,0
28,108,24,28,62,0
29,699,19,27,64,1
30,545,20,26,62,0
31,368,21,24,67,0
32,245,23,24,68,0
33,168,23,23,69,0
34,145,24,25,72,0
35,714,18,27,68,1
36,512,20,26,65,0
37,346,21,26,64,0
38,203,23,28,63,0
39,148,24,27,61,0
40,103,24,25,57,0
41,750,18,26,55,1
42,580,20,24,54,0
43,396,21,24,56,0
44,285,22,28,54,0
45,198,23,26,57,0
46,130,24,24,54,0
47,567,20,23,56,1
48,358,21,24,58,0
49,214,22,25,57,0
50,158,23,23,56,0
51,690,19,22,54,0
52,520,20,21,54,0
53,436,21,22,52,0
54,342,22,24,56,0
55,267,22,23,57,0
56,196,23,25,54,0
57,114,24,24,58,0
58,730,18,23,56,1
59,546,20,23,57,0
60,410,21,22,61,0
61,308,22,21,58,0
62,268,22,21,59,0
63,186,23,21,60,0
64,102,24,24,58,0
65,760,18,24,59,1
66,568,20,25,57,0
67,435,21,23,58,0
68,312,22,24,59,0
69,287,22,23,57,0
70,199,22,24,58,0
71,156,23,22,63,0
72,101,24,21,62,0
73,768,18,19,64,1
74,589,20,20,62,0
75,478,20,21,59,0
76,386,21,21,58,0
77,765,18,22,57,1
78,630,19,23,59,0
79,542,20,21,58,0
80,430,20,22,61,0
81,326,22,20,62,0
82,658,19,19,79,0
83,599,20,19,81,0
84,542,20,18,82,0
85,523,20,18,79,0
86,420,21,17,79,0
87,315,22,18,82,0
88,260,22,19,81,0
89,142,23,20,79,0
90,108,25,21,78,0
91,654,19,21,77,1
92,425,21,22,77,0
93,325,21,19,75,0
94,208,23,20,68,0
95,135,24,19,69,0
96,564,20,18,64,1
97,423,21,21,67,0
98,328,21,20,62,0
99,235,22,21,64,0
100,142,23,20,58,0
1,580,20,32,55,1
3,420,21,31,54,0
5,321,22,32,56,0
7,214,23,30,58,0
9,124,24,29,57,0
11,650,19,28,59,1
13,463,20,29,61,0
15,310,21,30,62,0
17,123,24,31,64,0
19,720,18,29,65,1
21,589,20,28,63,0
23,462,21,29,65,0
25,314,22,27,64,0
27,235,23,26,67,0
29,125,24,28,62,0
31,694,19,27,63,1
33,536,20,27,61,0
35,421,21,28,63,0
37,312,22,29,58,0
39,213,23,30,59,0
41,114,24,31,58,0
43,702,19,31,57,1
45,546,19,30,56,0
47,432,20,29,62,0
49,324,22,28,61,0
51,225,23,27,63,0
53,145,23,27,64,0
55,698,19,28,65,1
57,534,20,29,62,0
59,425,21,28,59,0
61,315,22,27,62,0
63,214,23,26,57,0
65,132,24,25,58,0
67,702,18,26,59,1
69,546,20,26,61,0
71,431,21,27,62,0
73,320,22,28,63,0
75,223,23,26,59,0
77,132,23,25,58,0
79,712,18,25,58,1
81,562,20,24,59,0
83,445,20,25,61,0
85,336,22,25,60,0
87,254,23,24,61,0
89,159,23,24,59,0
91,101,24,23,58,0
93,425,20,23,58,1
95,321,22,24,59,0
97,214,23,23,61,0
99,103,24,23,58,0
